scorer,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru,aru
labeled-data/milo_15s/When-Your-Dog-is-Trying-to-be-Helpful-Around-the-House-RingTV_mp4-0005_jpg.rf.4fdd859420f9b25ceff3977fbe33928d.jpg,-209.961,160.586,24.438,169.32,36.857,438.286,-96.0,34.0,-298.857,109.714,,,-252.672,388.344,-521.18,475.211,-628.805,562.742,-308.852,460.25,-503.93,542.273,,,,,,,,,,,,,,,,
labeled-data/milo_15s/Dog-Caught-Practicing-His-Kissing-Skills-__-ViralHog_mp4-0008_jpg.rf.34763bdf736df9746e612cc1b2122ca3.jpg,255.546,113.962,,,305.923,87.308,170.0,99.0,144.595,118.966,,,65.164,339.599,,,,,,,,,31.794,165.582,-333.04,133.023,,,,,,,,,,,,
labeled-data/milo_15s/dogcam_259_single_15_mp4-0003_jpg.rf.98b5b06e849fe93ec48935e4c6de9d2e.jpg,460.239,9.177,,,457.93,76.135,496.857,-91.714,478.716,-90.106,522.571,-80.286,338.984,-83.179,236.857,55.429,261.612,143.093,299.714,58.286,335.52,115.386,371.143,-221.714,256.993,-269.045,117.261,-254.037,133.428,-54.318,153.06,-31.229,156.857,39.714,108.022,-23.148,111.486,55.355
labeled-data/milo_15s/buzz_mp4-0028_jpg.rf.637c75a8ee091d237994c4f28b43daf2.jpg,193.388,200.892,324.167,193.195,212.0,285.498,272.0,93.554,193.388,152.786,353.333,130.877,282.667,418.793,207.483,614.539,,,325.288,618.39,,,,,,,,,-9.445,360.223,,,,,53.333,502.769,38.544,624.299
labeled-data/milo_15s/Yogi-The-Corgi-Enjoying-Furbo-Treats_mp4-0003_jpg.rf.ab81ff2c397bacad80b92d294206d8a6.jpg,,,,,387.603,262.41,350.667,243.048,,,340.478,239.809,353.276,279.397,315.238,311.43,308.346,320.178,345.986,316.997,343.203,328.528,,,359.639,240.169,365.208,230.839,,,,,,,,,,
labeled-data/milo_15s/dogcam_177_single_60_mp4-0012_jpg.rf.c7021452fce3ba37cb9b39d369718f6d.jpg,,,,,,,203.51,86.944,219.146,98.176,193.159,91.789,,,,,,,,,,,203.223,138.974,204.69,176.377,202.095,208.286,,,195.889,307.654,187.822,319.755,226.325,298.486,230.19,306.857
labeled-data/milo_15s/The-Cutest-Corgis-Loving-Their-Furbo-Dog-Camera_mp4-0012_jpg.rf.2fca5248949a5c02e06429cdb02518e0.jpg,311.964,312.522,,,319.648,338.003,316.144,275.904,305.028,279.906,324.592,273.014,,,197.686,293.209,209.118,308.792,,,,,290.974,243.678,214.314,206.982,136.373,176.335,,,,,,,147.804,248.537,156.638,264.12
labeled-data/milo_15s/The-Cutest-Bull-Dog-Caught-On-Furbo-Dog-Camera_mp4-0003_jpg.rf.41d5d5b26911e37548531cf7c0aa0da4.jpg,,,149.667,304.183,130.899,299.041,158.409,273.331,164.663,269.042,173.32,277.702,161.751,330.15,152.917,380.362,147.433,386.91,193.227,383.032,197.499,393.71,202.571,297.339,,,,,,,,,213.249,366.214,,,,
labeled-data/milo_15s/Watch-How-This-Dog-Uses-a-Ring-Video-Doorbell-to-Get-Back-In-The-House-RingTV_mp4-0004_jpg.rf.2fd2eca3b4b391fa63a14060d51d4ad7.jpg,,,,,,,162.991,312.516,171.581,313.598,153.674,314.207,,,,,174.266,400.471,,,154.954,386.873,161.102,333.681,156.635,342.391,144.411,351.105,129.469,336.73,143.726,401.434,145.783,413.074,166.208,404.828,165.964,411.909
labeled-data/milo_15s/dogcam_229_single_54s_mp4-0013_jpg.rf.9062c051591c1c93bd8907584f15c4a9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/milo_15s/Dog-moves-security-camera-so-he-can-secretly-eat-food-on-the-table-but-_mp4-0006_jpg.rf.e4ba39b888b800c65b794d5019d919ed.jpg,167.683,327.158,317.271,324.244,278.417,458.282,236.649,235.857,147.538,251.958,330.87,263.053,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/milo_15s/dogcam_108_single_45s_mp4-0010_jpg.rf.442901a09b0af3fb334384f2d97a097d.jpg,,,,,,,,,,,,,,,234.26,234.486,237.596,239.819,,,,,225.484,212.075,213.4,210.2,195.46,210.412,192.817,204.612,,,,,,,,
labeled-data/milo_15s/videoplayback_mp4-0014_jpg.rf.08f6736db284eb56396f1a775eaf19a1.jpg,,,247.896,57.196,-14.807,98.373,,,,,,,246.381,333.524,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/milo_15s/bobby_120s-4-_mp4-0029_jpg.rf.1c27b74dbdb02a5aa1f2a56734bcf74e.jpg,,,,,,,504.681,250.439,512.567,253.051,498.072,250.839,,,,,,,,,,,498.946,269.226,487.639,295.063,467.043,319.689,452.194,350.131,430.295,318.882,412.93,323.323,488.446,350.372,502.58,367.327
labeled-data/milo_15s/This-Golden-Retriever-is-doing-a-drowsy-_-Furbo-Dog-Camera_mp4-0012_jpg.rf.74b729525f9c32dd10f429b5278d38e6.jpg,,,218.649,172.058,203.25,193.374,211.542,143.932,,,225.46,142.156,229.606,203.143,227.83,244.295,231.087,272.42,251.225,231.268,242.34,254.065,,,,,,,,,,,,,,,,
labeled-data/milo_15s/dogcam_65_single_54s_mp4-0013_jpg.rf.370bb0a77ccf9c74fa592534bd4b7c18.jpg,19.714,2.571,321.143,28.286,164.0,316.857,165.429,-148.857,21.143,-138.857,316.857,-121.714,91.143,598.286,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/milo_15s/When-Your-Dog-is-Trying-to-be-Helpful-Around-the-House-RingTV_mp4-0006_jpg.rf.49833a0a1bb40be40fff738cc300cc57.jpg,,,,,,,,,,,,,-545.016,-238.625,-728.219,308.523,,,-655.563,410.797,,,-26.0,-304.571,128.234,90.203,,,,,,,,,,,,
labeled-data/milo_15s/dogcam_56_single_23_mp4-0005_jpg.rf.b65007af7f037730045c425fb7fec9a5.jpg,,,286.167,403.544,263.189,416.895,289.225,377.657,289.414,372.848,294.006,379.864,321.944,418.249,364.516,441.797,361.793,464.587,328.946,483.65,313.894,497.448,327.698,355.776,360.454,343.818,403.498,335.495,,,436.193,421.141,434.943,444.263,388.319,427.622,370.612,442.128
labeled-data/milo_15s/dogcam_235_single_17s_mp4_mp4-0004_jpg.rf.ce6bd297684f2848344a75693bbf0671.jpg,,,285.006,249.316,266.016,249.069,319.53,243.417,322.683,239.363,315.094,248.576,297.091,293.448,332.591,383.484,318.794,386.755,303.767,387.987,292.651,393.904,335.317,272.984,384.149,307.613,455.917,346.814,432.981,300.709,433.967,439.739,412.264,458.477,,,,
labeled-data/milo_15s/Confused-Pup-Looks-for-His-Mom-in-the-Ring-Video-Doorbell-RingTV_mp4-0004_jpg.rf.904ee4d216b0704107837ce641400fd8.jpg,142.4,465.472,310.4,478.276,187.2,628.661,243.141,320.598,101.029,329.322,352.0,332.633,,,,,,,,,,,,,124.8,249.348,58.959,160.044,,,,,,,,,,
labeled-data/milo_15s/dogcam_53_single_35s_mp4-0008_jpg.rf.a14846123a0b390d14120ae43dded2a4.jpg,84.0,-33.0,,,366.0,-120.0,,,,,,,204.0,284.0,722.0,367.0,,,433.0,136.0,662.0,102.0,-87.0,471.0,,,,,,,,,,,,,,
labeled-data/milo_15s/Boston-Terrier-Wishes-You-A-Nice-Day_mp4-0004_jpg.rf.603d435b711a16bafcce18a2bb3ce8f7.jpg,,,,,,,201.046,428.59,178.476,437.482,231.139,438.166,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/milo_15s/Caught-on-Camera-Dog-Rings-Doorbell_mp4-0002_jpg.rf.55205c21b19dffda14fc5da749a44f24.jpg,178.451,375.728,297.509,415.609,299.025,596.001,216.427,317.812,142.374,332.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/milo_15s/dogcam_156_multiple_54s_mp4-0012_jpg.rf.71b9ea257e134044db924f67c994d88f.jpg,,,,,145.262,267.814,180.057,225.074,,,,,,,,,,,,,,,227.851,228.583,279.863,222.171,336.809,259.527,383.521,323.606,,,,,,,,
labeled-data/milo_15s/dogcam_143_single_8s_mp4-0002_jpg.rf.559b4447a541c981933ac905f81ab0b8.jpg,107.809,334.952,130.19,331.619,117.809,341.143,116.381,315.429,103.048,317.333,127.333,316.381,,,121.619,374.476,124.952,387.333,150.19,367.333,152.571,379.238,,,107.809,297.333,106.381,283.524,91.143,288.286,,,,,,,,
labeled-data/milo_15s/bobby_120s-4-_mp4-0031_jpg.rf.541ab429423e13498c46a6ba2d158f31.jpg,,,,,,,504.927,250.488,512.824,252.94,497.301,250.761,,,,,,,,,,,498.946,269.226,487.639,295.063,467.043,319.689,452.194,350.131,428.725,319.945,413.104,324.152,488.446,350.372,501.139,367.265
labeled-data/milo_15s/Cute-Dog-Eating-Treats-Furbo-Dog-Camera_mp4-0005_jpg.rf.cab80c7973f6701c797dd05263f97013.jpg,282.699,40.536,302.886,40.244,294.987,61.015,287.752,19.13,275.432,22.595,301.226,21.44,298.497,68.914,285.781,129.19,,,321.105,109.289,318.684,118.356,,,267.779,80.324,,,238.524,114.26,,,,,,,,
labeled-data/milo_15s/dogcam_83_multiple_30s_mp4-0007_jpg.rf.3305ecc8f51370b59d8314842732ee8b.jpg,308.0,289.0,337.0,286.0,337.0,330.0,314.0,217.0,280.0,219.0,331.0,221.0,289.0,317.0,214.0,329.0,258.0,382.0,375.0,311.0,390.0,362.0,,,349.0,205.0,403.0,220.0,504.0,287.0,432.0,291.0,514.0,317.0,381.0,296.0,409.758,332.498
labeled-data/milo_15s/Shiba-Inu-Enjoying-Furbo-Treat-Time-Caught-On-Furbo-Dog-Camera-_mp4-0004_jpg.rf.4dfe6700cc593e20321f634fced8c68a.jpg,284.8,402.339,,,,,,,273.6,302.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/milo_15s/videoplayback-1-_mp4-0003_jpg.rf.0c0dc94717ffe52cf20c59731a8b1263.jpg,,,,,408.523,399.541,,,,,,,,,435.429,494.0,412.571,532.571,549.714,548.286,579.714,594.0,,,,,550.945,139.578,362.193,116.413,403.375,498.207,381.926,608.884,503.756,592.583,538.075,646.635
labeled-data/milo_15s/Smart-Dog-Locks-Herself-Outside-But-Knows-How-to-Get-Back-In-_mp4-0004_jpg.rf.7d2b905643b5124b0bfe03f19dd35055.jpg,-278.202,85.291,-101.742,82.516,-225.6,375.846,-145.6,-113.9,-278.757,-58.452,-3.2,-65.886,,,-305.6,727.951,,,94.4,708.745,,,,,,,,,,,,,,,,,,
labeled-data/milo_15s/Golden-Retriever-discovers-his-puppy-cam____mp4-0010_jpg.rf.34bc33f9c5ca0f76a5f401c444f18db5.jpg,187.96,317.693,216.969,315.925,208.4,345.714,199.629,288.529,176.294,295.236,219.334,293.652,205.428,375.326,156.507,526.551,166.062,555.657,174.642,517.925,185.447,546.43,153.75,344.141,61.732,351.354,4.708,349.388,-104.428,366.726,23.784,477.863,48.423,511.727,-32.421,482.359,-20.048,527.465
labeled-data/milo_15s/Dog-Caught-Practicing-His-Kissing-Skills-__-ViralHog_mp4-0009_jpg.rf.a7386c37514ba36e0f8203a889b08ca2.jpg,,,,,,,177.0,98.0,175.0,111.0,,,99.224,327.655,,,,,,,,,31.794,165.582,-339.977,136.985,,,,,,,,,,,,
labeled-data/milo_15s/Woman-Talks-to-Her-Best-Friend-Over-Two-Way-Talk-_mp4-0004_jpg.rf.eb1a59efa523a0ef830b509a849d08a2.jpg,,,,,86.923,563.039,120.806,383.865,61.691,397.553,181.362,415.955,,,96.361,594.232,91.561,680.657,323.561,592.631,331.561,693.461,155.561,253.33,158.76,178.108,139.561,134.895,,,,,221.16,584.629,,,,
labeled-data/milo_15s/videoplayback_mp4-0017_jpg.rf.a976d9d1473c30b701fb2c3fe02e0e2c.jpg,169.202,135.145,337.503,139.495,76.152,259.506,258.673,47.699,,,444.952,91.619,316.857,388.286,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/milo_15s/Mini-Dachshund-Monty-Boops-the-Ring-Cam-RingTV-1-_mp4-0009_jpg.rf.b0a1afe91424f27199beead2f35e0ca1.jpg,287.785,241.8,503.007,227.978,415.141,548.837,375.65,62.119,261.129,71.004,487.21,49.285,,,269.199,464.484,201.893,533.04,,,,,,,,,,,,,,,,,,,,
labeled-data/milo_15s/bobby_120s-4-_mp4-0037_jpg.rf.2fa96182abc33733a12fe56771955539.jpg,,,,,,,501.862,248.71,508.134,250.973,497.646,249.533,,,,,,,,,,,498.946,269.226,487.639,295.063,467.043,319.689,452.194,350.131,428.725,319.945,413.104,324.152,488.446,350.372,501.139,367.265
labeled-data/milo_15s/Woman-Talks-to-Her-Best-Friend-Over-Two-Way-Talk-_mp4-0005_jpg.rf.5ef73799de28c9dc03e72a08d3ef83ba.jpg,116.8,319.829,152.0,326.231,132.8,385.448,153.6,241.405,108.8,251.008,180.8,278.216,206.4,387.049,171.2,467.073,169.6,513.487,297.6,465.472,313.6,519.889,209.6,191.791,,,,,,,,,249.6,471.874,,,,
labeled-data/milo_15s/That-feeling-when-you-re-able-to-calm-your-dog-down-through-Ring-dogshorts_mp4-0008_jpg.rf.53dc98f9249af9c0e3a00689f9c8422e.jpg,,,,,-314.86,-702.543,,,,,,,403.175,427.915,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/milo_15s/husky_15s_mp4-0004_jpg.rf.b889ea083cb66f39149a48c9ab73c19f.jpg,,,,,,,155.0,72.5,,,,,,,,,,,,,,,154.167,68.333,155.833,65.0,159.167,60.0,156.667,48.333,,,,,,,,
labeled-data/milo_15s/dogcam_90_single_66s_mp4-0014_jpg.rf.6793c78401e31df2838c63ed467c4819.jpg,,,,,135.093,323.839,,,145.297,285.208,150.676,285.114,,,,,,,147.794,374.308,140.771,385.657,,,172.027,289.991,,,206.35,298.441,161.652,386.732,,,213.348,371.395,225.226,395.65
labeled-data/milo_15s/Silly-Moment-Caught-On-Furbo-Furbo-Dog-Camera_mp4-0002_jpg.rf.0979725c5c5521133ff5c654ca49819e.jpg,,,158.699,295.842,148.907,317.975,162.074,270.144,,,168.251,274.371,,,,,,,210.455,320.038,203.854,328.185,195.563,269.169,232.706,261.764,272.88,243.323,300.871,214.343,275.656,279.285,271.581,290.399,,,,
labeled-data/milo_15s/Yogi-The-Corgi-Enjoying-Furbo-Treats_mp4-0004_jpg.rf.83f4a37bbf6b0a7d750fa83391729126.jpg,,,,,,,375.827,248.829,384.622,250.085,366.718,245.687,,,345.987,333.64,351.013,344.321,,,,,361.692,269.56,333.109,260.451,318.974,242.232,,,,,,,308.609,282.439,310.493,298.459
labeled-data/milo_15s/dogcam_108_single_45s_mp4-0012_jpg.rf.0ad43b75137b87478d5ed1888b519905.jpg,,,,,,,,,,,,,,,,,,,,,,,,,216.444,210.608,209.744,213.054,202.092,206.305,200.008,240.788,,,,,,
labeled-data/milo_15s/videoplayback_mp4-0016_jpg.rf.43d636e067391253287ddbcbd7e2a922.jpg,186.573,111.926,355.122,117.065,72.613,245.513,,,,,,,356.688,368.707,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/milo_15s/dogcam_217_single_41_mp4-0011_jpg.rf.c28ed2919cfd2292e03fba9694e7734c.jpg,,,-13.69,17.879,,,,,,,7.099,-10.61,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/milo_15s/French-Bulldog-Fails-At-Catching-Treat_mp4-0002_jpg.rf.2052f3ad3d6bfa56364a8013f47d3ec6.jpg,439.001,404.573,601.879,337.469,532.779,409.508,488.358,255.563,428.597,280.163,530.469,236.159,571.278,546.676,,,,,,,,,,,,,,,,,,,566.347,754.637,,,,
labeled-data/milo_15s/Mini-Dachshund-Monty-Boops-the-Ring-Cam-RingTV-1-_mp4-0008_jpg.rf.6842c5924af294cf0e6601d254f1d8ce.jpg,,,,,,,,,,,,,276.0,36.0,222.0,498.0,176.0,636.0,506.857,446.857,502.0,604.0,,,,,,,,,,,,,,,,
labeled-data/milo_15s/dogcam_96_multiple_49s_mp4-0012_jpg.rf.3de76adaaee4d1a5a9552efebc69b4a2.jpg,,,195.3,170.632,,,156.083,132.23,125.159,156.924,202.251,120.284,198.24,314.923,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/milo_15s/videoplayback-4-_mp4-0009_jpg.rf.ec92ff52443facfe4746b08f66d5dca2.jpg,,,,,202.883,178.708,244.541,105.557,203.641,109.017,268.044,136.288,194.762,212.466,,,,,204.807,428.442,191.901,447.797,280.493,187.582,329.255,209.094,356.91,256.097,366.003,450.424,267.492,493.878,249.055,538.116,369.815,483.74,356.91,515.997
labeled-data/milo_15s/This-Dog-Heard-Her-Owner-s-Voice___-But-Does-She-Listen-_mp4-0005_jpg.rf.1fda9e02376b84bf24272b6e6899f4d5.jpg,,,,,,,275.2,264.077,286.96,266.236,265.12,266.236,,,,,,,,,,,278.911,295.01,279.258,328.273,279.258,372.971,273.712,436.379,253.263,436.032,250.644,456.889,295.894,430.489,297.28,450.585
labeled-data/milo_15s/Adorable-Dog-Reacts-to-Being-Called-Through-Ring-Cam-RingTV-Ring-1080p-h264-_mp4-0008_jpg.rf.0808bfcbe55d8bdca8d553ec6f85b771.jpg,-160.286,228.286,126.857,258.286,-51.165,526.93,9.291,-24.428,-83.143,-24.571,111.143,-18.857,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/milo_15s/This-Is-What-Golden-Retrievers-Do-When-They-re-Home-Alone-Furbo-Dog-Camera_mp4-0012_jpg.rf.9cfb19f62aeb2b388897531551f8b5a1.jpg,404.511,158.847,,,410.132,166.55,405.76,151.456,403.054,153.538,410.028,153.33,,,,,,,,,,,395.767,155.62,380.987,157.806,365.685,162.386,379.529,201.006,,,,,,,,
labeled-data/milo_15s/Sneaky-Dog-Caught-On-Furbo-Dog-Camera_mp4-0002_jpg.rf.7943264259d120bb86e4c37b7d21202e.jpg,328.94,136.538,,,413.747,269.227,302.267,41.468,227.035,58.567,,,,,137.441,263.071,146.332,322.576,,,,,,,,,,,,,,,,,,,,
labeled-data/milo_15s/Party-Dogs-Ruff-House-Big-Dog-Gets-Love-From-Her-Owners-Via-Ring-Indoor-Cam-Neighborhood-Stories_mp4-0027_jpg.rf.0ba2c7f7a243d417572f50a57810e949.jpg,743.65,383.718,,,,,,,715.267,355.334,,,656.031,412.101,547.433,508.359,565.944,531.806,665.904,473.805,690.585,507.125,612.839,294.865,521.518,287.46,398.111,282.524,269.767,182.564,312.96,451.592,314.194,510.827,390.706,476.273,430.196,523.168
labeled-data/milo_15s/dogcam_199_single_53s_mp4-0012_jpg.rf.6095ca78a439fc35f24a6b7a04884be7.jpg,,,,,,,158.526,218.297,163.467,233.949,,,,,108.25,318.509,118.125,327.424,116.68,310.559,123.183,318.027,127.278,239.483,86.813,247.916,45.144,228.641,,,,,,,,,45.7,300.852
labeled-data/milo_15s/dogcam_241_single_42_mp4-0010_jpg.rf.2fe973ed102857746bc7daa54ecdcd07.jpg,288.991,283.245,321.465,277.835,312.181,313.014,297.496,253.101,275.741,257.736,317.121,251.251,313.346,333.873,264.006,420.789,265.023,444.402,300.754,417.701,313.346,436.286,,,249.946,317.641,,,,,,,,,,,,
labeled-data/milo_15s/Shiba-Inu-Plays-With-Lazer-Pointer-Caught-On-Furbo_mp4-0008_jpg.rf.5cb7c3cbcb8ed11c79e21bc29e2e052f.jpg,,,,,,,319.701,275.261,322.288,288.841,,,,,304.393,338.424,339.572,345.892,,,317.545,312.335,289.731,266.424,234.751,262.76,145.531,253.09,166.776,239.225,,,,,169.948,337.689,190.308,357.158
labeled-data/milo_15s/Watch-This-Golden-Retriever-s-Reaction-to-Hearing-Owner-s-Voice-on-Ring-RingTV_mp4-0010_jpg.rf.23e5cae2614389766216cc0bb847732a.jpg,-45.805,69.273,542.313,124.953,-148.281,714.766,272.563,-211.898,-88.857,-206.0,754.0,-138.857,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/milo_15s/dogcam_84_single_58s_mp4-0013_jpg.rf.6612e8a99f37f63689647fcac7c5c6ee.jpg,21.35,290.233,346.523,292.761,126.942,536.204,151.144,-131.435,-61.178,-87.166,366.518,-89.449,,,,,-282.679,602.119,,,605.056,597.973,,,,,,,,,,,,,,,,
labeled-data/milo_15s/Corgi-Puppy-Has-A-Bad-Case-Of-The-Mondays_mp4-0002_jpg.rf.15b06403a9c4e6c05533ae71f455c279.jpg,165.832,143.105,197.644,142.095,194.614,175.427,153.208,103.208,137.554,105.228,166.842,97.653,146.644,178.962,112.812,210.274,95.643,214.314,128.97,223.909,109.277,231.485,,,215.317,153.711,255.208,176.437,307.219,218.859,213.297,236.535,203.217,247.472,192.089,228.959,165.832,232.495
labeled-data/milo_15s/Hilarious-French-Bull-Dog-Caught-On-Camera_mp4-0002_jpg.rf.be880d7ce235ecbb49ad1bc620e23dbe.jpg,,,,,,,102.212,317.091,98.904,319.986,100.696,312.955,98.766,339.284,,,,,,,,,87.877,326.74,65.547,327.429,44.734,319.848,,,,,,,,,,
labeled-data/milo_15s/buzz_mp4-0032_jpg.rf.b2c4d261aeb8302da2cd18386b5a2b41.jpg,230.331,233.811,359.224,226.602,269.333,323.453,296.0,123.511,221.524,184.951,378.667,159.5,321.333,436.753,211.082,624.768,,,329.5,615.866,,,,,,,,,-8.834,380.186,,,,,54.667,518.063,40.802,629.209
labeled-data/milo_15s/Watch-The-Reaction-Rigatoni-Gives-When-Hearing-His-Mom-s-Voice_mp4-0007_jpg.rf.9fd6a96170cfe7270fdfbed8a633f1c0.jpg,48.0,252.609,376.0,-14.671,646.4,519.889,-81.6,-232.336,-265.6,209.396,371.2,-280.35,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/milo_15s/Hidden-camera-The-dog-was-left-at-home-alone____mp4-0008_jpg.rf.e0873788035025d7390bbff46c4c7f75.jpg,,,,,274.234,358.189,256.93,342.812,249.239,351.782,259.493,337.687,247.957,384.458,227.128,419.697,228.41,441.801,243.792,424.822,,,,,,,280.643,348.899,316.533,337.687,266.223,417.134,263.659,431.55,,,,
labeled-data/milo_15s/A-3D-rug-that-fools-the-dogs-_mp4-0010_jpg.rf.c845ea9f09a2c96c37218014939fcb5a.jpg,,,,,,,,,,,,,,,357.739,592.981,345.751,641.639,,,,,,,293.567,217.824,149.71,341.231,163.893,179.728,,,,,,,,
labeled-data/milo_15s/videoplayback-4-_mp4-0010_jpg.rf.d200fe8ee7f884578220bf3642f93c19.jpg,,,,,202.883,178.708,248.734,105.185,200.383,110.101,270.861,135.501,197.924,219.072,,,,,204.807,428.442,191.901,447.797,280.493,187.582,329.255,209.094,356.91,256.097,366.003,450.424,267.492,493.878,249.055,538.116,369.815,483.74,356.91,515.997
labeled-data/milo_15s/videoplayback-4-_mp4-0008_jpg.rf.9270f5da84b6fbcdfeccab80e3251b10.jpg,,,,,189.231,165.463,244.541,105.557,201.215,107.4,270.103,135.219,194.762,212.466,,,,,204.807,428.442,191.901,447.797,280.493,187.582,329.255,209.094,356.91,256.097,366.003,450.424,267.492,493.878,249.055,538.116,369.815,483.74,356.91,515.997
labeled-data/milo_15s/dogcam_90_single_66s_mp4-0015_jpg.rf.ea9a52aa7b0cfb573dd5cb091770a3d0.jpg,210.503,302.563,,,216.656,314.693,,,,,,,197.517,309.487,,,,,,,,,181.587,279.014,146.64,271.88,116.339,309.737,104.921,290.563,93.118,360.088,81.908,375.395,139.382,369.702,,
labeled-data/milo_15s/Puppy-Gets-Excited-When-She-Hears-Her-Owner-s-Voice-On-Doorbell-Cam-_-RingTV_mp4-0011_jpg.rf.b7e7b56e545c722bac6501429f37faeb.jpg,,,,,-3.061,56.34,,,35.429,379.714,-297.429,268.286,-155.375,698.188,,,,,,,,,,,,,,,,,,,,,,,,
